"City","Restaurant","Wine Name","Region","State","Country","Wine Type","Body","Brand","Producer","Varietal","Taste Profile","Typical Vintage","Price","Sources","is_wine","wine_name","producer","vintage","varietal","body","region","country","price"
"Boston","Toro","MicroBio ""Correcaminos"" Tempranillo/Verdejo Castillo y León 2022","Castillo y León","","Spain","Red","Medium","MicroBio","MicroBio Wines","Tempranillo/Verdejo","Fruity and Spicy","2022","","Winery Direct","yes","Boston Toro MicroBio 'Correcaminos'","MicroBio Wines","2022","Tempranillo/Verdejo","Medium","Castillo y León","Spain","Winery Direct"
"Boston","Toro","Cosmic ""Gratitud"" Cabernet Franc + Catalonia 2023","Catalonia","","Spain","Cabernet Franc","Medium","Cosmic","Cosmic Vinyaters","Cabernet Franc","Fruity and Spicy","2023","","Direct from winery","yes","Boston Toro Cosmic 'Gratitud' Cabernet Franc + Catalonia","Cosmic Vinyaters","2023","Cabernet Franc","Medium","Catalonia","Spain","Direct from winery"
"Boston","Toro","Luberri Gran Reserva Tempranillo Rioja 2015","Rioja","","Spain","Red","Full","Luberri","Luberri","Tempranillo","Fruity","2015","","","yes","Boston Toro Luberri Gran Reserva Tempranillo Rioja","Luberri","2015","Tempranillo","Full","Rioja","Spain",
"Boston","Toro","Vall Llach ""Embruix"" Cabernet + Rioja 2019","Priorat","Catalonia","Spain","Red","Full","Vall Llach","Vall Llach","Cabernet","Fruity","2019","","","yes","Embruix","Vall Llach","2019","Cabernet + Rioja","Full","Priorat Catalonia","Spain",
"Boston","Toro","Pingus ""PSI"" Tempranillo Ribera del Duero 2023","Ribera del Duero","Massachusetts","Spain","Red","Full","Pingus","Pingus","Tempranillo","Dark Fruit, Leather, Tobacco","2023","","Winery Direct","yes","Boston Toro Pingus 'PSI' Tempranillo Ribera del Duero","Pingus","2023","Tempranillo","Full","Ribera del Duero","Spain","Winery Direct"
"Boston","Toro","Vina Alberdi Tempranillo Reserva Rioja 2019","Rioja","","Spain","Red","Medium","Vina Alberdi","La Rioja Alta","Tempranillo","Fruity","2019","","","yes","Boston Toro Vina Alberdi Tempranillo Reserva Rioja","Vina Alberdi La Rioja Alta","2019","Tempranillo","Medium","Rioja","Spain",
"Boston","Comfort_Kitchen","Coffee, Espresso, Tea, and Sparkling Waters beverage menu V Vegetarian | VG/VGO Vegan or w/ modification |","","Massachusetts","USA","","","","","","","","","",,,,,,,,,
"Boston","Merengue_Restaurant","Agua Mineral Sparkling Mineral Water $3.00","","Massachusetts","USA","Sparkling Water","Light","Agua Mineral","Agua Mineral","Mineral Water","Crisp, Refreshing","","$3.00","","no",,,,,,,,
"Boston","Merengue_Restaurant","Vino Blanco/White Wine Chardonnay (Yellow Tail, Australia) Glass $8.00","South Eastern Australia","","Australia","White Wine","Medium","Yellow Tail","Casella Family Brands","Chardonnay","Fruity","2019","$8.00","Yellow Tail official website","yes","Vino Blanco/White Wine Chardonnay","Yellow Tail Casella Family Brands","2019","Chardonnay","Medium","South Eastern Australia","Australia","$8.00"
"Boston","Merengue_Restaurant","Pinot Grigio ( Esperto, California ) Glass $10.00","Napa Valley","California","USA","Pinot Grigio","Light","Esperto","Esperto Winery","Pinot Grigio","Crisp, Light, Fruity","2018","$10.00","Esperto Winery",,,,,,,,,
"Boston","Merengue_Restaurant","Riesling ( Frisk, Australia ) Glass $10.00","Victoria","Victoria","Australia","Riesling","Light","Frisk","Frisk Wines","Riesling","Crisp, Fruity, and Slightly Sweet","2018","$10.00","Frisk Wines Official Website",,,,,,,,,
"Boston","Merengue_Restaurant","Bubbles Prosecco (La Marca, Italy) Bottle $50.00","Veneto","","Italy","Prosecco","Light","La Marca","La Marca","Glera","Fruity and Floral","Non-Vintage","$50.00","","yes","Bubbles Prosecco","La Marca","Non-Vintage","Prosecco","Light","Veneto","Italy","$50.00"
"Boston","Merengue_Restaurant","Vino Tinto/Red Wine Merlot ( Yellow Tail, Australia ) Glass $8.00","South Eastern Australia","","Australia","Red Wine","Medium","Yellow Tail","Casella Family Brands","Merlot","Fruity","2018","$8.00","Winery Direct","yes","Vino Tinto/Red Wine Merlot","Yellow Tail Casella Family Brands","2018","Merlot","Medium","South Eastern Australia","Australia","$8.00"
"Boston","Merengue_Restaurant","Pinot Noir ( Cono Sur Bicicleta, Chile ) Glass $10.00","Valle Central","","Chile","Pinot Noir","Medium","Cono Sur Bicicleta","Cono Sur Vineyards & Winery","Pinot Noir","Fruity, Light, Dry","2018","$10.00","https://www.conosur.com/wines/bicicleta/pinot-noir/","yes","Boston Merengue_Restaurant Pinot Noir","Cono Sur Vineyards & Winery","2018","Pinot Noir","Medium","Valle Central","Chile","$10.00"
"Boston","Merengue_Restaurant","Cabernet Sauvignon ( Yellow Tail, Australia ) Glass $8.00","South Eastern Australia","","Australia","Cabernet Sauvignon","Full-bodied","Yellow Tail","Casella Family Brands","Cabernet Sauvignon","Blackberry, chocolate and luscious vanilla","2018","$8.00","Winery official website","yes","Boston Merengue_Restaurant Cabernet Sauvignon","Yellow Tail Casella Family Brands","2018","Cabernet Sauvignon","Full-bodied","South Eastern Australia","Australia","$8.00"
"Boston","Merengue_Restaurant","Chismosas La Marca Prosecco (mini bottle) and Passion Fruit Juice $16.00","Veneto","","Italy","Prosecco","Light","La Marca","Chismosas","Glera","Fruity","Non-Vintage","$16.00","","yes","La Marca Prosecco","La Marca","Non-Vintage","Prosecco","Light","Veneto","Italy","$16.00"
"Boston","Sarma","RIPTIDE irish whiskey, bourbon, braulio, rosemary, thyme, sage, lemon TEMPORARY LOVE sarma rum, fenugreek, sesame orgeat, banana, lime, cinnamon","Kentucky, USA","Kentucky","USA","Whiskey","Full-bodied","RIPTIDE","","Bourbon","Herbaceous, Citrus, Spicy","","","Sarma Restaurant","no",,,,,,,,
"Austin","Arriba_Abajo","Mule Vodka and ginger beer with a squeeze of lime Choose a flavor: strawberry basil, pineapple epazote, cucumber mint, blood-orange rosemary","","Texas","United States","Cocktail","Light","Mule Vodka","Mule Vodka","Vodka","ginger beer with a squeeze of lime","","","","no",,,,,,,,
"Austin","Arriba_Abajo","Vinos Poema Cava Pazo Das Bruxas Albarino Routestock Chardonnay La Fete Rose Cline Seven Ranchlands Pinot Noir","Various","Texas","USA","Mixed","Various","Vinos Poema Cava Pazo Das Bruxas Albarino Routestock Chardonnay La Fete Rose Cline Seven Ranchlands Pinot Noir","Various","Various","Various","Various","","Arriba_Abajo Restaurant Wine List",,,,,,,,,
"Austin","Arriba_Abajo","Angeline Cabernet Zero-Proof Luchador Limonada NA gin, cucumber, lime, mint, Lyre’s classico NA sparkling","California","California","USA","Non-Alcoholic","Medium","Angeline Cabernet Zero-Proof Luchador Limonada NA gin, cucumber, lime, mint, Lyre’s classico NA sparkling","Angeline Vineyards","Cabernet Sauvignon","Fruity, Citrus, Minty","","","","yes","Angeline Cabernet Zero-Proof Luchador Limonada","Angeline Vineyards","NA","Cabernet Sauvignon","Medium","California","USA","NA"
"Austin","Arriba_Abajo","Mule Vodka and ginger beer with a squeeze of lime Choose a flavor: strawberry basil, pineapple epazote, cucumber mint, blood-orange rosemary","","Texas","USA","Cocktail","Light","Mule Vodka","Mule Vodka","Vodka","ginger beer with a squeeze of lime","","","","no",,,,,,,,
"Austin","Arriba_Abajo","Poema Cava Pazo das Bruxas Albarino RouteStock Chardonnay La Fete Rose Cline Seven Ranchlands Pinot Noir","Various","Texas","USA","Mixed","Various","Various","Various","Albarino, Chardonnay, Pinot Noir","Various","Various","","Arriba_Abajo Restaurant Wine List","yes","Austin Arriba_Abajo Poema Cava Pazo das Bruxas Albarino RouteStock Chardonnay La Fete Rose Cline Seven Ranchlands Pinot Noir","Various","Various","Albarino, Chardonnay, Pinot Noir","Various","Various","USA","Various"
"Austin","Arriba_Abajo","Angeline Cabernet Zero-Proof Luchador Limonada NA gin, cucumber, lime, mint, Lyre’s classico NA sparkling","California","California","United States","Non-Alcoholic","Medium","Angeline Cabernet Zero-Proof Luchador Limonada NA gin, cucumber, lime, mint, Lyre’s classico NA sparkling","Angeline Vineyards","Cabernet Sauvignon","Fruity, Citrus, Mint","","","","yes","Angeline Cabernet Zero-Proof Luchador Limonada","Angeline Vineyards","NA","Cabernet Sauvignon","Medium","California","United States","NA"
"Austin","Group_Therapy","CUCUMBER BASIL SPRITZ Hornitos Blanco | Cucumber | Basil | Lime | St~Germain | La Marca Prosecco","Veneto","Texas","Italy","Prosecco","Light","La Marca","La Marca","Glera","Fruity and Floral","Non-Vintage","","","yes","Austin Group_Therapy CUCUMBER BASIL SPRITZ","La Marca","Non-Vintage","Prosecco","Light","Veneto","Italy",
"Austin","Group_Therapy","BUBBLES LA MARCA, ITALY PROSECCO 16./64.","Veneto","","Italy","Prosecco","Light","Bubbles La Marca","La Marca","Glera","Fruity and Floral","Non-Vintage","16./64.","","yes","Therapy BUBBLES LA MARCA","Austin Group","Non-Vintage","Prosecco","Light","Veneto","Italy","16./64."
"Austin","Group_Therapy","TORRESELLA, ITALY PROSECCO 18./72.","Torresella","","Italy","Prosecco","Light","Torresella","Torresella","Glera","Fruity and Floral","18./72.","","Winery Direct","yes","Torresella Prosecco","Austin Group_Therapy","Not mentioned","Glera","Light","Torresella","Italy","18./72."
"Austin","Group_Therapy","HAMPTON WATER, SOUTH OF FRANCE SPARKLING ROSÉ 20./80.","South of France","Texas","France","Sparkling Rosé","Light","Hampton Water","Hampton Water Wine Co","Grenache, Cinsault, Mourvèdre, Syrah","Fruity and Crisp","20./80.","","Winery Direct","yes","Austin Group_Therapy HAMPTON WATER, SOUTH OF FRANCE SPARKLING ROSÉ","Hampton Water Wine Co","20./80.","Grenache, Cinsault, Mourvèdre, Syrah","Light","South of France Texas","France","20./80."
"Austin","Group_Therapy","WHITE WINE DAOU, PASO ROBLES CHARDONNAY 16./56.","Paso Robles","California","USA","White","Medium","Daou","Daou Vineyards","Chardonnay","Fruity and Crisp","2016","56","Daou Vineyards Official Website",,,,,,,,,
"Austin","Group_Therapy","CHATEAU STE MICHELLE, CANOE RIDGE, WASHINGTON CHARDONNAY 18./63.","Canoe Ridge","Washington","USA","Chardonnay","Medium","Chateau Ste Michelle","Chateau Ste Michelle","Chardonnay","Crisp, fruity with hints of apple and pear","2018","63","Chateau Ste Michelle Winery",,,,,,,,,
"Austin","Group_Therapy","HARTFORD COURT, RUSSIAN RIVER CHARDONNAY 22./77.","Russian River","California","USA","Chardonnay","Medium","Hartford Court","Hartford Family Winery","Chardonnay","Citrus, Apple, Oak","22/77","","Winery Direct","yes","Austin Group_Therapy HARTFORD COURT, RUSSIAN RIVER CHARDONNAY","Hartford Family Winery","22./77","Chardonnay","Medium","Russian River","USA","22/77"
"Austin","Group_Therapy","CAKEBREAD, NAPPA CHARDONNAY 25./88.","Napa","California","USA","White","Medium","Cakebread","Cakebread Cellars","Chardonnay","Fruity","2018","25/88","","yes","Austin Group_Therapy CAKEBREAD, NAPPA CHARDONNAY","Cakebread Cellars","2018","Chardonnay","Medium","Napa","USA","25/88"
"Austin","Group_Therapy","MAHUA, NEW ZEALAND SAUVIGNON BLANC 18./63.","Mahua","","New Zealand","Sauvignon Blanc","Light","Mahua","Mahua Vineyards","Sauvignon Blanc","Crisp, Fresh, Fruity","18","63","Mahua Vineyards","yes","Mahua New Zealand Sauvignon Blanc","Austin Group_Therapy","18","Sauvignon Blanc","Light","Mahua","New Zealand","63"
"Austin","Group_Therapy","ROMBAUER, NAPPA SAUVIGNON BLANC 20./70.","Nappa","California","USA","Sauvignon Blanc","Medium","Rombauer","Rombauer Vineyards","Sauvignon Blanc","Crisp, Fresh, Fruity","20","70","Rombauer Vineyards",,,,,,,,,
"Austin","Group_Therapy","CLOUDY BAY, NEW ZEALAND SAUVIGNON BLANC 24./84.","Marlborough","Texas","New Zealand","White","Light","Cloudy Bay","Cloudy Bay Vineyards","Sauvignon Blanc","Crisp, Tropical, Citrus","2019","24./84.","","yes","Austin Group_Therapy CLOUDY BAY","Cloudy Bay Vineyards","2019","Sauvignon Blanc","Light","Marlborough Texas","New Zealand","24./84."
"Austin","Group_Therapy","EROICA, COLUMBIA VALLEY, WASHINGTON RIESLING 16./56.","Columbia Valley","Washington","USA","Riesling","Medium","Eroica","Chateau Ste. Michelle & Dr. Loosen","Riesling","Crisp, fruity, and slightly sweet","2016","56","Winery Direct",,,,,,,,,
"Austin","Group_Therapy","RUFFINO, LUMINA, ITALY PINOT GRIGIO 14./49.","Tuscany","","Italy","Pinot Grigio","Light","Ruffino","Lumina","Pinot Grigio","Crisp, Fresh, Fruity","14","49","Ruffino Winery","yes","Ruffino Lumina Pinot Grigio","Ruffino Winery","14","Pinot Grigio","Light","Tuscany","Italy","49"
"Austin","Group_Therapy","J VINEYARDS & WINERY, CALIFORNIA PINOT GRIS 16./56.","Sonoma County","California","USA","Pinot Gris","Medium","J Vineyards & Winery","J Vineyards & Winery","Pinot Gris","Crisp and fruity with a touch of honey","2016","56","Winery Direct",,,,,,,,,
"Austin","Group_Therapy","BANFI, SAN PAOLO, ITALY PINOT GRIGIO 18./63.","San Paolo","","Italy","Pinot Grigio","Light","Banfi","Banfi","Pinot Grigio","Crisp and Refreshing","2018","18./63.","","yes","Austin Group_Therapy BANFI","Banfi","2018","Pinot Grigio","Light","San Paolo","Italy","18./63."
"Austin","Group_Therapy","SANTA margherita, ITALY PINOT GRIGIO 20./70.","Santa Margherita","Trentino-Alto Adige","Italy","Pinot Grigio","Light","Santa Margherita","Santa Margherita","Pinot Grigio","Crisp, Dry, Light-bodied","20./70.","","Santa Margherita Winery","yes","Santa Margherita Pinot Grigio","Santa Margherita Winery","Not mentioned","Pinot Grigio","Light-bodied","Trentino-Alto Adige","Italy","20./70."
"Austin","Group_Therapy","RED WINE BLACK STALLION, NORTH COAST CABERNET SAUVIGNON 18./63.","North Coast","California","USA","Red Wine","Full-bodied","Black Stallion","Black Stallion Estate Winery","Cabernet Sauvignon","Dark fruit, oak, and spice","2018","63","Winery Direct",,,,,,,,,
"Austin","Group_Therapy","BEZEL BY CAKEBREAD, PASO ROBLES CABERNET SAUVIGNON 20./70.","Paso Robles","California","USA","Red","Full","Bezel by Cakebread","Cakebread Cellars","Cabernet Sauvignon","Rich and fruity with notes of blackberry, plum, and cassis, balanced by a touch of oak and tannin","20./70.","","Winery and various online wine retailers","yes","Austin Group_Therapy BEZEL BY CAKEBREAD, PASO ROBLES CABERNET SAUVIGNON","Cakebread Cellars","20./70.","Cabernet Sauvignon","Full","Paso Robles","USA","20./70."
"Austin","Group_Therapy","BV, NAPA CABERNET SAUVIGNON 25./88.","Napa","California","USA","Red","Full","BV","Beaulieu Vineyard","Cabernet Sauvignon","Rich and intense with flavors of blackberry, cherry, and spice","1988","25","Wine-Searcher",,,,,,,,,
"Austin","Group_Therapy","FAUST, NAPA CABERNET SAUVIGNON 34./119.","Napa","California","USA","Red","Full","Faust","Faust","Cabernet Sauvignon","Rich and fruity","2018","34/119","","yes","Faust Cabernet Sauvignon","Austin Group_Therapy FAUST","2018","NAPA CABERNET SAUVIGNON","Full","Napa","USA","34/119"
"Austin","Group_Therapy","JUSTIN, JUSTIFICATION, PASO ROBLES CABERNET FRANC BLEND 35./124.","Paso Robles","California","USA","Red","Full","Justin","Justin Vineyards & Winery","Cabernet Franc Blend","Rich and fruity with notes of black cherry, plum, and spice","2017","35./124.","","yes","Austin Group_Therapy JUSTIN, JUSTIFICATION, PASO ROBLES CABERNET FRANC BLEND","Justin Vineyards & Winery","2017","Cabernet Franc Blend","Full","Paso Robles","USA","35./124."
"Austin","Group_Therapy","ELOUAN, OREGON PINOT NOIR 18./63.","Willamette Valley","Oregon","USA","Pinot Noir","Medium","Elouan","Elouan","Pinot Noir","Fruity, Earthy, Lightly Spiced","2018","63","Elouan Winery",,,,,,,,,
"Austin","Group_Therapy","DIORA, LA PETITE GRACE, MONTEREY PINOT NOIR 20./70.","Monterey","California","USA","Red","Medium","Diora","Diora","Pinot Noir","Fruity","2017","$20.70","","yes","Diora, La Petite Grace, Monterey Pinot Noir","Austin Group_Therapy","2017","Pinot Noir","Medium","Monterey","USA","$20.70"
"Austin","Group_Therapy","THE CALLING, MONTEREY PINOT NOIR 22./77.","Monterey","California","USA","Red","Medium","The Calling","The Calling Vineyards","Pinot Noir","Fruity, Earthy, Light","2017","22.77","Wine.com",,,,,,,,,
"Austin","Group_Therapy","ETUDE, NAPA PINOT NOIR 25./88.","Napa","California","USA","Red","Medium","Etude","Etude Wines","Pinot Noir","Fruity, Earthy, Spicy","2016","25/88","Winery Direct",,,,,,,,,
"Austin","Group_Therapy","FERRARI-CARANO, SONOMA MERLOT 16./56.","Sonoma","California","USA","Merlot","Medium","Ferrari-Carano","Ferrari-Carano","Merlot","Fruity, with notes of plum, black cherry, and spice","2016","56","Winery Direct",,,,,,,,,
"Austin","Group_Therapy","PENFOLDS, BIN 389, AUSTRALIA CABERNET-SHIRAZ BLEND 24./84.","South Australia","South Australia","Australia","Red","Full-bodied","Penfolds","Penfolds Wines","Cabernet-Shiraz Blend","Rich and complex with notes of blackberry, plum, and spice","1984","","Penfolds official website","yes","Austin Group_Therapy PENFOLDS, BIN 389","Penfolds Wines","1984","Cabernet-Shiraz Blend","Full-bodied","South Australia","Australia","24./84."
"Austin","Group_Therapy","ROLUS SPARKLING HYDRATION 340ML 6.","California","California","USA","Sparkling Wine","Light","ROLUS SPARKLING HYDRATION","Rolus Winery","Chardonnay","Crisp, Fresh, Fruity","2018","","Direct from Winery","yes","Austin Group_Therapy ROLUS SPARKLING HYDRATION","Rolus Winery","2018","Chardonnay","Light","California","USA","Direct from Winery"
"Austin","Paperboy","Paperboy Paloma Blanco Tequila","Jalisco","Jalisco","Mexico","Tequila","Medium","Paperboy","Paperboy","Blue Agave","Grapefruit, Rosemary","","","Paperboy Restaurant Menu",,,,,,,,,
"Austin","Paperboy","sage advice lemon, sage, rambler, sugar rim  10SPARKLING torre oria brut cava spain  10 / 42","Valencia","","Spain","Sparkling","Medium","Torre Oria","Torre Oria","Cava","Lemon, Sage, Rambler, Sugar Rim","","10 / 42","","yes","Torre Oria Cava","Torre Oria","Not mentioned","Cava","Medium","Valencia","Spain","10 / 42"
"Austin","Paperboy","cafe de paris brut rose france  12 / 48","Bordeaux","","France","Brut Rose","Light","Cafe de Paris","Cafe de Paris","Pinot Noir","Fruity and Crisp","2018","12 / 48","Wine Spectator","yes","Austin Paperboy cafe de paris brut rose","Cafe de Paris","2018","Pinot Noir","Light","Bordeaux","France","12 / 48"
"Austin","Nido","2 PREMIUM POURS                                           3oz |5oz Chardonnay  Louis Jadot, 1er Cru Pouilly-Fuisse, Burgundy, FR 2021 18 | 29","Burgundy","Texas","FR","Chardonnay","Medium","Louis Jadot","Louis Jadot","1er Cru Pouilly-Fuisse","Fruity and Rich","2021","18 | 29","Nido Restaurant Wine List",,,,,,,,,
"Austin","Nido","Cabernet Sauvignon  Cakebread , Napa, US, 2021 25 | 42","Napa","California","US","Cabernet Sauvignon","Full","Cakebread","Cakebread Cellars","Cabernet Sauvignon","Black Cherry, Black Currant, Cedar","2021","25 | 42","Winery Direct",,,,,,,,,
"Austin","Nido","SPARKLING & ROS É Prosecco Jeio, Conegliano Valdobbiadene, Veneto, IT  15","Conegliano Valdobbiadene","Veneto","IT","SPARKLING & ROS É Prosecco","Light","Jeio","Bisol","Glera","Fruity and Floral","15","","Winery Direct","yes","Austin Nido SPARKLING & ROS É Prosecco Jeio","Bisol","15","Glera","Light","Conegliano Valdobbiadene Veneto","IT","15 Winery Direct"
"Austin","Nido","Still Rosé Château Coupe Roses, Minervois, FR 18","Minervois","","FR","Still Rosé","Medium","Château Coupe Roses","Château Coupe Roses","Grenache","Fruity and Dry","18","","Winery Direct","yes","Austin Nido Still Rosé","Château Coupe Roses","18","Grenache","Medium","Minervois","FR","Winery Direct"
"Austin","Nido","Pinot Grigio  Nals Margreid “Hill” Alto Adige, IT 16","Alto Adige","","IT","Pinot Grigio","Medium","Nals Margreid","Nals Margreid","Pinot Grigio","Crisp and fruity with a hint of pear and apple","16","","Nals Margreid Winery","yes","Austin Nido Pinot Grigio Nals Margreid “Hill”","Nals Margreid Winery","16","Pinot Grigio","Medium","Alto Adige","IT","Not mentioned"
"Austin","Nido","Chardonnay  Camille & Laurent Schaller, Chablis, Burgundy, FR 19","Chablis","Texas","FR","Chardonnay","Medium","Camille & Laurent Schaller","Camille & Laurent Schaller","Chardonnay","Crisp and fruity with a hint of minerality","19","","Restaurant Wine List","yes","Austin Nido Chardonnay","Camille & Laurent Schaller","19","Chardonnay","Medium","Chablis, Burgundy","FR","Not mentioned"
"Austin","Nido","Sommelier Selection Rotates Weekly MKT RED Pinot Noir North Valley Vineyards, Willamette Valley, US 21","Willamette Valley","Oregon","US","RED","Medium","Sommelier Selection Rotates Weekly MKT","North Valley Vineyards","Pinot Noir","Fruity, Earthy, Light Tannin","2018","21","Restaurant Wine List",,,,,,,,,
"Austin","Nido","Tempranillo Marqués de Murrietta Reserva, Rioja, SP 20","Rioja","Texas","Spain","Tempranillo","Medium","Marqués de Murrietta Reserva","Marqués de Murrietta","Tempranillo","Fruity, Spicy, Medium-bodied","20","","Winery Direct","yes","Austin Nido Tempranillo Marqués de Murrietta Reserva","Marqués de Murrietta","20","Tempranillo","Medium","Rioja","Spain","20"
"Austin","Nido","Cabernet Sauvignon  Rowen, Sonoma County, US 23","Sonoma County","California","US","Red","Full","Rowen","Rowen Wine Company","Cabernet Sauvignon","Blackberry, Cherry, Vanilla, Oak","23","","Winery Direct","yes","Austin Nido Cabernet Sauvignon","Rowen Wine Company","23","Cabernet Sauvignon","Full","Sonoma County","US","23 Winery Direct"
"Austin","Nido","Sans-gria hibiscus, pomagranite, n/a sparkling wine12","N/A","Texas","USA","sparkling","Medium","Sans-gria","Sans-gria Winery","Blend","hibiscus, pomagranite","Non-vintage","","Restaurant Wine List","yes","Austin Nido Sans-gria","Sans-gria Winery","Non-vintage","Blend","Medium","N/A","USA","Restaurant Wine List"
"Austin","Nido","Win alcohol removed sparkling wine - Spain12 | 48","","Texas","Spain","alcohol removed sparkling wine","","Win","","","","","12 | 48","","yes","Austin Nido Win alcohol removed sparkling wine","Austin Nido Win","Unknown","Unknown","Unknown","Texas","Spain","12 | 48"
"Austin","Nido","6 Other Sparkling SPARKLING BLANCS Raventos i Blanc Blanc de Blanc  Brut, Penedes, Spain 2022  90","Penedes","Catalonia","Spain","Sparkling Blancs","Medium","Raventos i Blanc","Raventos i Blanc","Xarel-lo, Macabeo, Parellada","Fresh, Fruity, Mineral","2022","90","Winery Direct",,,,,,,,,
"Austin","Nido","SPARKLING ROSÉ Lost Draw Pet-Nat  Rosé  Pinot Meunier Texas High Plains 2022  65","Texas High Plains","Texas","USA","SPARKLING ROSÉ","Medium","Lost Draw","Lost Draw Cellars","Pinot Meunier","Fruity","2022","65","Nido Restaurant",,,,,,,,,
"Austin","Nido","Le Puy Rose-Marie, Francs-Côtes-de-Bordeaux,  France 2021  185","Francs-Côtes-de-Bordeaux","Texas","France","Red","Medium","Le Puy Rose-Marie","Château Le Puy","Merlot","Fruity and Spicy","2021","185","Wine-Searcher",,,,,,,,,
"Austin","Nido","7 New World whites OREGON CHARDONNAY Evening Land “Seven Springs” Eola-Amity Hills, 2021","Eola-Amity Hills","Oregon","USA","Chardonnay","Medium","Evening Land","Evening Land Vineyards","Chardonnay","Crisp, Citrus, Mineral","2021","98","Evening Land Vineyards official website",,,,,,,,,
"Austin","Nido","NORTH COAST CHARDONNAY Hirsch Vineyards, Sonoma Coast, 2021   195","North Coast","California","USA","Chardonnay","Medium","Hirsch Vineyards","Hirsch Vineyards","Chardonnay","Crisp, Fruity, Lightly Oaked","2021","195","Hirsch Vineyards",,,,,,,,,
"Austin","Nido","NAPA VALLEY CHARDONNAY Heitz Cellar “Quartz Creek” , 2019   189","Napa Valley","California","USA","Chardonnay","Medium","Heitz Cellar","Heitz Cellar","Chardonnay","Fruity, Crisp, Oaky","2019","189","Restaurant Wine List",,,,,,,,,
